Bloody,JUNGLE,14,0%,1.3,1.7,4.6,4.3,4.3,275,13
,,,,,,,,,,
Blue,MID,15,86.70%,7,4.7,1.4,5,9.4,439,26.5
,,,,,,,,,,
Blue45ty,SUPPORT,6,33.30%,1.9,1.2,3.2,5,1,230,7.4
,,,,,,,,,,
Blue45ty,ADC,2,0%,2,2.5,3.5,4.5,4.2,279,8.2
,,,,,,,,,,
Bobiistaa,TOP,17,29.40%,2.3,3.5,3.5,4.5,8.1,393,28.3
,,,,,,,,,,
BocaJR,SUPPORT,12,25%,2.8,1.1,3,7.2,1,225,9
,,,,,,,,,,
BocaJR,ADC,1,100%,9,0,1,9,6.2,322,14
,,,,,,,,,,
Bolszak,JUNGLE,17,23.50%,2.1,1.1,2.6,4.5,4.9,285,13
,,,,,,,,,,
Bolulu,MID,16,62.50%,4.3,4.3,2.4,5.9,8.2,401,26.9
,,,,,,,,,,
Boncuk,ADC,2,0%,1.5,2,5.5,6.5,7.8,357,21.6
,,,,,,,,,,
Bossey,MID,14,7.10%,2,2.2,2.8,3.4,7.8,350,25.1
,,,,,,,,,,
Brandini,TOP,24,70.80%,3.4,2.5,2.7,6.5,7,360,21.6
,,,,,,,,,,
Brandini,MID,1,0%,0,0,4,0,7.1,290,34.5
,,,,,,,,,,
Breezyyy,SUPPORT,20,45%,3,0.8,3.2,8.7,1,231,8.6
,,,,,,,,,,
Breezyyy,ADC,1,0%,0.6,2,5,1,5.3,285,21.6
,,,,,,,,,,
Brizz,SUPPORT,19,63.20%,4.6,0.7,2.5,10.8,1.2,241,8
,,,,,,,,,,
BroCColi,JUNGLE,4,0%,2.3,1,1.5,2.5,4.4,262,7.7
,,,,,,,,,,
Broken Blade,TOP,28,50%,3.6,3,2.2,4.9,7.3,370,25.1
,,,,,,,,,,
Broxah,JUNGLE,12,41.70%,4,1.5,1.8,5.4,4.7,292,10.5
,,,,,,,,,,
Bruce,SUPPORT,1,100%,8,3,2,13,1.6,332,24.5
,,,,,,,,,,
Bruce,ADC,20,85%,6.1,4.6,1.7,5.8,9.6,460,28.9
,,,,,,,,,,
Brucer,MID,6,33.30%,3.6,1.7,2,5.5,7.3,343,24
,,,,,,,,,,
Bruness,JUNGLE,24,66.70%,5.1,2.3,2,7.9,4.8,305,13.6
,,,,,,,,,,
Buggax,TOP,6,66.70%,4.8,5.2,2.2,5.2,9.1,454,32.1
,,,,,,,,,,
Bugi,JUNGLE,21,66.70%,5.3,3.3,1.8,6.3,5.7,347,17.6
,,,,,,,,,,
Bullet,SUPPORT,3,100%,43,7,0.3,7.3,2.4,367,31.2
,,,,,,,,,,
Bullet,ADC,21,61.90%,5.2,4.4,1.8,4.9,9.3,423,27.6
,,,,,,,,,,
Burnie,MID,16,31.30%,3.3,2.6,2.6,6,7.2,352,20.6
,,,,,,,,,,
But1,TOP,15,60%,2.4,1.8,2.7,4.6,7.3,365,22.4
,,,,,,,,,,
But1,MID,2,0%,1,0.5,5,4.5,6.7,310,19.4
,,,,,,,,,,
Bvoy,ADC,22,50%,3.9,3,1.9,4.5,9.3,415,27.2
,,,,,,,,,,
Bwipo,TOP,24,79.20%,4,3.1,2.5,6.7,7.5,396,25
,,,,,,,,,,
Bwipo,SUPPORT,1,0%,1.4,0,12,17,1,251,6.3
,,,,,,,,,,
CBL,SUPPORT,39,64.10%,3.1,0.9,3.1,8.5,1.1,243,7.6
,,,,,,,,,,
CBL,ADC,1,0%,1.7,0,3,5,5.4,276,9.2
,,,,,,,,,,
CHP,TOP,11,27.30%,1.6,2.6,4.8,5.3,6.5,335,23.3
,,,,,,,,,,
Cabochard,TOP,18,11.10%,1.7,1.3,2.9,3.6,7.8,356,22
,,,,,,,,,,
Caedrel,JUNGLE,18,38.90%,2.3,2.1,3.1,5.2,5.2,310,15.8
,,,,,,,,,,
Calmsky,SUPPORT,19,63.20%,3.1,2,3.8,9.6,1,255,9.8
,,,,,,,,,,
Calmsky,ADC,1,0%,0.3,0,7,2,4.1,229,8
,,,,,,,,,,
Candy,MID,25,72%,5.5,3.3,1.6,5.4,7.8,375,25
,,,,,,,,,,
Canee,JUNGLE,18,27.80%,2.8,3.1,3.6,6.9,5.2,326,17.1
,,,,,,,,,,
Canna,TOP,38,68.40%,6.4,2.3,1.3,5.8,7.7,376,21.6
,,,,,,,,,,
Canyon,JUNGLE,40,50%,3.3,1.5,2.4,6.3,5.3,312,12.1
,,,,,,,,,,
Cao,SUPPORT,21,38.10%,2,0.5,4,7.4,0.9,218,6.4
,,,,,,,,,,
Caps,ADC,25,72%,4.5,5.2,3,8.6,8.7,446,29.4
,,,,,,,,,,
Caps,SUPPORT,2,100%,6.5,3,3,16.5,2.2,336,22.7
,,,,,,,,,,
CapsChan,SUPPORT,2,0%,1.6,1,6.5,9.5,0.8,213,10.4
,,,,,,,,,,
Carbono,JUNGLE,17,29.40%,2.2,1.9,3.1,5.1,5.9,327,18.6
,,,,,,,,,,
Cariok,JUNGLE,6,66.70%,4.4,4.5,2.5,6.5,5.6,343,18.8
,,,,,,,,,,
Carzzy,SUPPORT,1,100%,12,4,1,8,2.9,336,21.3
,,,,,,,,,,
Carzzy,ADC,25,52%,3.4,4.5,2.7,4.5,9.2,435,28.3
,,,,,,,,,,
Cboi,JUNGLE,21,57.10%,3.9,2.5,2.5,7.1,6.1,338,17.6
,,,,,,,,,,
Celebrity,ADC,35,54.30%,4.4,5.2,2.2,4.4,8.9,436,28.8
,,,,,,,,,,
Celebrity,SUPPORT,4,75%,21.3,2.3,0.8,13.8,2,345,17.5
,,,,,,,,,,
Ceos,SUPPORT,15,33.30%,2.8,0.3,2.9,7.9,1,219,6.7
,,,,,,,,,,
Ceros,MID,19,73.70%,3.8,2.2,1.9,5.3,8,369,23
,,,,,,,,,,
Chance,SUPPORT,14,28.60%,2.5,0.5,3.7,8.6,1,222,7.6
,,,,,,,,,,
Chance,ADC,1,100%,3.5,0,2,7,5.3,298,7.1
,,,,,,,,,,
Chapapi,MID,9,77.80%,11.6,5.7,1,5.9,8.5,409,32.7
,,,,,,,,,,
Charger,TOP,14,28.60%,1.2,1.4,4.3,3.8,6.5,320,21.6
,,,,,,,,,,
Chase,MID,5,0%,1.6,1.2,2,2,7.6,333,32.2
,,,,,,,,,,
Chazz,MID,25,36%,3.4,4.1,2.5,4.4,8.5,398,29.4
,,,,,,,,,,
Checkfider,ADC,12,25%,1.9,2.9,3.8,4.3,8.3,375,26.4
,,,,,,,,,,
Chieftain,JUNGLE,12,25%,1.8,1.3,3.4,4.7,5.1,285,11.8
,,,,,,,,,,
Chilly,SUPPORT,23,52.20%,2.8,0.5,3.1,8,1,221,7.2
,,,,,,,,,,
Chippys,TOP,25,52%,3,2.7,2.2,4.1,7.7,383,20.3
,,,,,,,,,,
Chosen,JUNGLE,15,20%,2.1,1.3,3,4.9,4.4,278,10.4
,,,,,,,,,,
Chovy,TOP,3,66.70%,5,1.3,1,3.7,9.7,411,25.7
,,,,,,,,,,
Chovy,MID,40,67.50%,5.6,3.3,1.5,5.1,9.3,413,28.9
,,,,,,,,,,
Ciglio,ADC,1,0%,1,1,4,3,8.4,366,29
,,,,,,,,,,
Cinkrof,JUNGLE,18,44.40%,3,1.8,3.2,7.8,4.8,306,13.5
,,,,,,,,,,
Claire,MID,29,72.40%,4.8,3.7,2,6,8.1,401,27
,,,,,,,,,,
Click,SUPPORT,21,57.10%,3.4,0.6,3,9.5,0.9,229,9.3
,,,,,,,,,,
Clid,JUNGLE,41,70.70%,5.2,2.3,1.8,6.9,5.5,332,13.1
,,,,,,,,,,
Closer,JUNGLE,22,40.90%,2.5,1.6,2.5,4.5,5.1,303,10.9
,,,,,,,,,,
Coated,TOP,21,52.40%,2.1,2.3,3.5,5.1,7.2,368,24.4
,,,,,,,,,,
Cody Sun,ADC,28,46.40%,4.1,3.1,1.9,4.6,8.9,405,27.5
,,,,,,,,,,
Cohle,MID,35,60%,4.6,4.5,2.3,5.9,7.7,393,23.8
,,,,,,,,,,
Color,TOP,17,58.80%,2.9,4.2,2.9,4.2,7.7,410,23
,,,,,,,,,,
Comp,ADC,19,15.80%,2.1,2.8,2.6,2.6,10,415,29.5
,,,,,,,,,,
Contractz,JUNGLE,21,42.90%,2.3,2.9,3.9,6.1,5,320,16.8
,,,,,,,,,,
Copy C,TOP,1,0%,1,2,3,1,5.2,280,19.7
,,,,,,,,,,
CoreJJ,SUPPORT,18,38.90%,4.7,0.1,1.4,6.7,1.1,221,6.4
,,,,,,,,,,
Corporal,SUPPORT,15,26.70%,2.7,0.7,2.6,6.4,0.9,209,7.5
,,,,,,,,,,
Corporal,ADC,1,100%,9,1,1,8,6.2,314,10.3
,,,,,,,,,,
Cospect,SUPPORT,23,73.90%,4.4,0.8,2.6,10.5,1.3,254,8.3
,,,,,,,,,,
Cotopaco,MID,14,78.60%,4.4,2.4,1.6,4.8,7.6,360,29.8
,,,,,,,,,,
Counter,SUPPORT,2,50%,3,3.5,3.5,7,1.6,292,21.2
,,,,,,,,,,
Counter,ADC,15,46.70%,3.8,5,3,6.5,7.4,403,29.8
,,,,,,,,,,
Cover,MID,22,54.50%,2.7,2.4,2.8,5,8.8,389,25.6
,,,,,,,,,,
Cpt Lipanek,JUNGLE,14,64.30%,3.8,3.6,3,7.7,4.7,325,14.5
,,,,,,,,,,
CrAzY,JUNGLE,14,21.40%,1.8,1.9,4,5.5,4.7,293,17.4
,,,,,,,,,,
Crazy,TOP,21,47.60%,3.2,2.7,2.5,5.4,7.4,360,22
,,,,,,,,,,
Crecre,SUPPORT,3,0%,0.9,0.3,3.7,3,1,201,11.3
,,,,,,,,,,
Creon,SUPPORT,3,0%,1.1,1.7,4.7,3.3,1.6,253,21.3
,,,,,,,,,,
Creon,ADC,11,9.10%,2,3.9,4,4.1,8,377,26.4
,,,,,,,,,,
Cribob,SUPPORT,9,11.10%,1.5,0.6,4.4,6.1,0.9,204,9.6
,,,,,,,,,,
Cribob,ADC,3,0%,1.4,1,4.7,5.3,4.5,263,9
,,,,,,,,,,
Crisp,SUPPORT,32,68.80%,5.1,0.5,2,9.9,1,236,6.9
,,,,,,,,,,
Crisp,ADC,1,100%,-,2,0,13,5.6,340,11.7
,,,,,,,,,,
Croc,JUNGLE,29,72.40%,4.4,3.5,2.7,8.1,5.8,362,16.7
,,,,,,,,,,
Croco,JUNGLE,2,100%,25,4.5,0.5,8,6,365,17.3
,,,,,,,,,,
Crocomux,MID,14,7.10%,2,1.9,3.1,4.4,7.2,335,24.2
,,,,,,,,,,
Croka,ADC,1,0%,2.2,6,5,5,8.2,401,27.4
,,,,,,,,,,
Crown,MID,8,12.50%,1.7,2.6,3.3,2.9,7.5,343,25.3
,,,,,,,,,,
Crownshot,ADC,18,22.20%,3,2.7,1.8,2.8,10.1,424,28.7
,,,,,,,,,,
Cryin,MID,35,65.70%,6.4,5.5,2.1,8.1,8.3,424,28.9
,,,,,,,,,,
CuVee,TOP,43,39.50%,1.9,2.2,3.1,3.9,7.5,357,24.1
,,,,,,,,,,
Cube,TOP,41,46.30%,3.1,2,2.3,5.1,7.2,353,20.8
